"AnomalyDetection              "|"Anomalies are composed of a set of isolated pixels with anomalous signatures (when compared to the image background) which represents a very small piece of the full image, and they only occur in the image with low probabilities. This module contains classes related to well-known approaches for anomaly detection which have shown success for multispectral and hyperspectral images (for example Local-RX detector)."
"AppChangeDetection            "|"Change detection application (see also ChangeDetection module)."
"AppClassification             "|"Classification application."
"AppDescriptors                "|"Descritors application( see also Descriptors module)."
"AppDimensionalityReduction    "|"Dimensionality reduction application( see also DimensionalityReduction module)."
"AppEdge                       "|"Edge detection and extraction application (see also Edge module)."
"AppFiltering                  "|"Basic filters application."
"AppFusion                     "|"Fusion of classifications application."
"AppHyperspectral              "|"Unmixing application."
"AppImageUtils                 "|"Image utils and handling application."
"AppIndices                    "|"Classical indices (NDVI, NDWI,) application."
"ApplicationEngine             "|"This module contains classes that ease the implementation of applications (see chapter 'How to write an application' of the SoftwareGuide)."
"AppMoments                    "|"Geometric moments (for pattern recognition) application."
"AppMorphology                 "|"Morphomath application."
"AppOpticalCalibration         "|"Optical calibration application."
"AppProjection                 "|"Projection application (see also Projection module)."
"AppSARCalibration             "|"SAR Calibration application."
"AppSegmentation               "|"Segmentation application."
"AppStereo                     "|"Stereo application (see also Stereo module)."
"AppTest                       "|"Test application."
"AppTextures                   "|"Textures application (see also Textures module)."
"AppVectorDataTranslation      "|"VectorDataTranslation application (translation, rotation and scale)."
"AppVectorUtils                "|"VectorUtils application."
"BoostAdapters                 "|"Adapters for the Boost library."
"Carto                         "|"Cartography related module. For instance, users can retrieve geographical information for longitude and latitude coordinates. compute the extent of the input image and use it to fill the bbox for the OSM request. produce Map file product (ie a file .map, the tiles to draw in a mapserver, and finally a shapefile). request OSM Server using the OSM API 0.6 to get the xml file storing the vector elements available. retrieve Longitude and Latitude coordinates from a place name. And so on."
"CCOBIA                        "|"This module contains classes that implement the Connected Component algorithm (segmentation)."
